,"Pop","Temp","Genotype"
"PNZT028-IPO94203-17R2","IPO94203_17",17,"IPO94203"
"PNZT028-IPO94203-17R3","IPO94203_17",17,"IPO94203"
"PNZT028-IPO94203-20R1","IPO94203_20",20,"IPO94203"
"PNZT028-IPO94203-20R2","IPO94203_20",20,"IPO94203"
"PNZT028-IPO94203-23R2","IPO94203_23",23,"IPO94203"
"PNZT028-IPO94203-23R4","IPO94203_23",23,"IPO94203"
"PNZT029-LG2012-17R2","LG2012_17",17,"LG2012"
"PNZT029-LG2012-17R3","LG2012_17",17,"LG2012"
"PNZT029-LG2012-20R1","LG2012_20",20,"LG2012"
"PNZT029-LG2012-20R2","LG2012_20",20,"LG2012"
"PNZT029-LG2012-23R2","LG2012_23",23,"LG2012"
"PNZT029-LG2012-23R4","LG2012_23",23,"LG2012"
"PNZT030-IPO94243-17R2","IPO94243_17",17,"IPO94243"
"PNZT030-IPO94243-17R3","IPO94243_17",17,"IPO94243"
"PNZT030-IPO94243-20R1","IPO94243_20",20,"IPO94243"
"PNZT030-IPO94243-20R2","IPO94243_20",20,"IPO94243"
"PNZT030-IPO94243-23R2","IPO94243_23",23,"IPO94243"
"PNZT030-IPO94243-23R4","IPO94243_23",23,"IPO94243"
"PNZT031-GRI002-17R2","GRI002_17",17,"GRI002"
"PNZT031-GRI002-17R3","GRI002_17",17,"GRI002"
"PNZT031-GRI002-20R1","GRI002_20",20,"GRI002"
"PNZT031-GRI002-20R2","GRI002_20",20,"GRI002"
"PNZT031-GRI002-23R2","GRI002_23",23,"GRI002"
"PNZT031-GRI002-23R4","GRI002_23",23,"GRI002"
"PNZT032-IPO94218-17R2","IPO94218_17",17,"IPO94218"
"PNZT032-IPO94218-17R3","IPO94218_17",17,"IPO94218"
"PNZT032-IPO94218-20R1","IPO94218_20",20,"IPO94218"
"PNZT032-IPO94218-20R2","IPO94218_20",20,"IPO94218"
"PNZT032-IPO94218-23R2","IPO94218_23",23,"IPO94218"
"PNZT032-IPO94218-23R4","IPO94218_23",23,"IPO94218"
"PNZT033-IPO6001-17R2","IPO6001_17",17,"IPO6001"
"PNZT033-IPO6001-17R3","IPO6001_17",17,"IPO6001"
"PNZT033-IPO6001-20R1","IPO6001_20",20,"IPO6001"
"PNZT033-IPO6001-20R2","IPO6001_20",20,"IPO6001"
"PNZT033-IPO6001-23R2","IPO6001_23",23,"IPO6001"
"PNZT033-IPO6001-23R4","IPO6001_23",23,"IPO6001"
